GID_3,NAME_3,drought_hazard
NER.1.1.1_1,ZR Arlit,0.9846153846153847
NER.1.2.1_1,Bilma,1.0
NER.1.2.2_1,Kawar,0.9923076923076923
NER.1.3.1_1,ZR Tchirozerine,0.9615384615384616
NER.2.1.1_1,Bosso,0.7769230769230769
NER.2.1.2_1,Diffa,0.8307692307692308
NER.2.1.3_1,Komadougou,0.7846153846153846
NER.2.2.1_1,Goudoumaria,0.8461538461538461
NER.2.2.2_1,Maine Soroa,0.8846153846153846
NER.2.3.1_1,N' Guigmi,0.9
NER.2.3.2_1,ZR N' Guigmi,0.9769230769230769
NER.3.1.1_1,Birni Ngaoure,0.09230769230769231
NER.3.1.2_1,Kiota,0.17692307692307693
NER.3.1.3_1,Koygolo,0.23846153846153847
NER.3.2.1_1,Dogondoutchi,0.4076923076923077
NER.3.2.2_1,Takassaba,0.1076923076923077
NER.3.2.3_1,Tchibiri,0.13076923076923078
NER.3.3.1_1,Dosso,0.1
NER.3.4.1_1,Bana,0.023076923076923078
NER.3.4.2_1,Dioundou,0.038461538461538464
NER.3.4.3_1,Gaya,0.007692307692307693
NER.3.4.4_1,Karakara,0.07692307692307693
NER.3.4.5_1,Yelou,0.03076923076923077
NER.3.4.6_1,Zaboki,0.06153846153846154
NER.3.5.1_1,Falwel,0.2076923076923077
NER.3.5.2_1,Goubey,0.26153846153846155
NER.3.5.3_1,Sokorbe,0.19230769230769232
NER.4.1.1_1,Aguie,0.3384615384615385
NER.4.1.2_1,Gangara,0.36153846153846153
NER.4.2.1_1,Balder Goula,0.8538461538461538
NER.4.2.2_1,Birni N' Lalle,0.8
NER.4.2.3_1,Kornaka,0.6461538461538462
NER.4.2.4_1,Tagris Soli,0.8384615384615385
NER.4.2.5_1,ZR Dakoro,0.8923076923076924
NER.4.3.1_1,Chadakori,0.5230769230769231
NER.4.3.2_1,Guidan Roumdji,0.45384615384615384
NER.4.3.3_1,Guidan Sori,0.36923076923076925
NER.4.3.4_1,Sae Saboua,0.4846153846153846
NER.4.3.5_1,Tibiri,0.2923076923076923
NER.4.4.1_1,Gabi,0.12307692307692308
NER.4.4.2_1,Madarounfa,0.2
NER.4.4.3_1,Mjiratawa,0.3230769230769231
NER.4.4.4_1,Safo,0.2153846153846154
NER.4.4.5_1,Sarkin Yamma,0.0
NER.4.5.1_1,Kanembakache,0.7384615384615385
NER.4.5.2_1,Mayahi,0.7076923076923077
NER.4.6.1_1,Korghom,0.4461538461538462
NER.4.6.2_1,Ourafane,0.7923076923076923
NER.4.6.3_1,Tessaoua,0.6230769230769231
NER.5.1.1_1,Lamorde,0.18461538461538463
NER.6.1.1_1,Birni N' Konni,0.33076923076923076
NER.6.1.2_1,Doguerawa,0.27692307692307694
NER.6.2.1_1,Bouza,0.5153846153846153
NER.6.2.2_1,Deoul,0.4153846153846154
NER.6.3.1_1,Illela,0.5076923076923077
NER.6.4.1_1,Garhanga,0.38461538461538464
NER.6.4.2_1,Keita,0.6
NER.6.4.3_1,Tamaske,0.46153846153846156
