# Renewables.ninja Wind (Point API) - 14.862, 8.231 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in Africa/Niamey, electricity in kW, wind_speed in m/s
# {"units": {"time": "UTC", "local_time": "Africa/Niamey", "electricity": "kW", "wind_speed": "m/s"}, "params": {"local_time": true, "header": true, "lat": "14.86190336247798", "lon": "8.231071920846794", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "1", "height": "50", "turbine": "Vestas V42 600", "raw": true}}
time,local_time,electricity,wind_speed
2019-01-01 00:00,2019-01-01 01:00,0.257,7.242
2019-01-01 01:00,2019-01-01 02:00,0.279,7.446
2019-01-01 02:00,2019-01-01 03:00,0.291,7.553
2019-01-01 03:00,2019-01-01 04:00,0.297,7.603
2019-01-01 04:00,2019-01-01 05:00,0.285,7.500
2019-01-01 05:00,2019-01-01 06:00,0.271,7.369
2019-01-01 06:00,2019-01-01 07:00,0.235,7.038
2019-01-01 07:00,2019-01-01 08:00,0.142,6.046
2019-01-01 08:00,2019-01-01 09:00,0.501,9.335
2019-01-01 09:00,2019-01-01 10:00,0.563,9.871
2019-01-01 10:00,2019-01-01 11:00,0.502,9.338
2019-01-01 11:00,2019-01-01 12:00,0.461,8.992
2019-01-01 12:00,2019-01-01 13:00,0.417,8.634
2019-01-01 13:00,2019-01-01 14:00,0.358,8.137
2019-01-01 14:00,2019-01-01 15:00,0.315,7.765
2019-01-01 15:00,2019-01-01 16:00,0.309,7.718
2019-01-01 16:00,2019-01-01 17:00,0.323,7.829
2019-01-01 17:00,2019-01-01 18:00,0.443,8.851
2019-01-01 18:00,2019-01-01 19:00,0.530,9.576
2019-01-01 19:00,2019-01-01 20:00,0.547,9.725
2019-01-01 20:00,2019-01-01 21:00,0.541,9.669
2019-01-01 21:00,2019-01-01 22:00,0.515,9.439
2019-01-01 22:00,2019-01-01 23:00,0.483,9.180
2019-01-01 23:00,2019-01-02 00:00,0.466,9.035
2019-01-02 00:00,2019-01-02 01:00,0.461,8.995
2019-01-02 01:00,2019-01-02 02:00,0.453,8.921
2019-01-02 02:00,2019-01-02 03:00,0.419,8.643
2019-01-02 03:00,2019-01-02 04:00,0.385,8.366
2019-01-02 04:00,2019-01-02 05:00,0.375,8.277
2019-01-02 05:00,2019-01-02 06:00,0.387,8.381
2019-01-02 06:00,2019-01-02 07:00,0.390,8.397
2019-01-02 07:00,2019-01-02 08:00,0.409,8.563
2019-01-02 08:00,2019-01-02 09:00,0.764,11.909
2019-01-02 09:00,2019-01-02 10:00,0.788,12.225
2019-01-02 10:00,2019-01-02 11:00,0.709,11.266
2019-01-02 11:00,2019-01-02 12:00,0.610,10.290
2019-01-02 12:00,2019-01-02 13:00,0.497,9.298
2019-01-02 13:00,2019-01-02 14:00,0.414,8.603
2019-01-02 14:00,2019-01-02 15:00,0.369,8.230
2019-01-02 15:00,2019-01-02 16:00,0.347,8.043
2019-01-02 16:00,2019-01-02 17:00,0.335,7.938
2019-01-02 17:00,2019-01-02 18:00,0.398,8.471
2019-01-02 18:00,2019-01-02 19:00,0.450,8.899
2019-01-02 19:00,2019-01-02 20:00,0.438,8.797
2019-01-02 20:00,2019-01-02 21:00,0.438,8.803
2019-01-02 21:00,2019-01-02 22:00,0.460,8.983
2019-01-02 22:00,2019-01-02 23:00,0.437,8.796
